"","ORB_perc","TRB_perc","ORB_perc_opp","TRB_perc_opp","AST_perc","STL_perc","BLK_perc","TOV_perc","AST_perc_opp","STL_perc_opp","BLK_perc_opp","TOV_perc_opp","ORtg","FTr","X3PAr","TS_perc","eFG_perc","FTtoFGA","ORtg_opp","FTr_opp","X3PAr_opp","TS_perc_opp","eFG_perc_opp","FTtoFGA_opp"
"158",22.2,50.7,22.4,50.7,56.9,7.6,8.3,13,60.6,8.2,8,12.9,108.8,0.219,0.385,0.556,0.525,0.17,112.1,0.268,0.395,0.575,0.535,0.215
"159",18,52.6,22.8,52.6,59.6,7.7,9.7,11.1,60,7.5,7.5,11.6,103.7,0.258,0.299,0.528,0.491,0.194,106.5,0.223,0.334,0.532,0.499,0.17
"160",23.4,50,23.1,50,58.9,8.6,8.9,13,62.3,8,8.9,13.3,104.2,0.212,0.257,0.527,0.494,0.163,104.7,0.284,0.314,0.536,0.496,0.214
"161",24.5,49.7,24.7,49.7,58.5,7.1,7.5,12.4,52.5,8.3,6,11.4,108.5,0.225,0.316,0.542,0.507,0.177,102,0.257,0.207,0.503,0.462,0.197
"162",25.6,48.7,22.3,48.7,54.8,8.2,10,12,59,7.3,9,12.4,114.7,0.246,0.379,0.57,0.539,0.186,113.8,0.281,0.403,0.58,0.54,0.224
"163",19.9,52.2,25.5,52.2,57.6,8.9,9.6,12.7,59.4,8.4,8.5,13.5,107.4,0.267,0.266,0.554,0.51,0.218,108.6,0.267,0.344,0.55,0.51,0.21
"164",24.9,49.6,23.5,49.6,56,9.3,7.5,11.3,60.4,6.7,7.3,14.4,113.5,0.288,0.268,0.565,0.522,0.23,109.9,0.228,0.349,0.57,0.538,0.178
"165",25.9,48.7,25.1,48.7,60.2,7.5,6.3,14,62.5,8.8,8.4,11.9,106.5,0.262,0.243,0.544,0.502,0.21,105.5,0.285,0.277,0.521,0.481,0.209
"166",25.3,51.7,27.3,51.7,62,8.1,7.3,11.9,60.4,7.2,8.5,13.1,106.9,0.269,0.268,0.531,0.49,0.208,109.1,0.338,0.224,0.546,0.5,0.254
"167",22.8,51.1,25,51.1,56.2,7,7.9,12.2,56.8,8,9.9,10.7,109.6,0.249,0.381,0.551,0.516,0.189,114.3,0.229,0.359,0.562,0.531,0.176
"168",23.6,49.8,22.7,49.8,57.9,7.7,11.3,12.2,55.8,7.8,9.2,12,110.4,0.243,0.411,0.554,0.514,0.198,108.4,0.236,0.401,0.544,0.508,0.185
"169",22,49.6,19.5,49.6,58.8,6.8,8,11.5,62.1,7.9,8.9,11.1,106.4,0.22,0.377,0.533,0.498,0.173,113.3,0.211,0.424,0.574,0.545,0.164
"170",23.6,48.7,22.4,48.7,58.3,7.6,7.6,13.6,59.6,8.7,8.9,12.3,109.4,0.319,0.4,0.561,0.521,0.238,108.9,0.239,0.342,0.552,0.518,0.183
"171",26.4,48.2,22,48.2,53,9.9,9.4,11.9,60.9,8.1,8,14.8,109.3,0.267,0.319,0.54,0.509,0.189,104.1,0.265,0.342,0.546,0.509,0.2
"172",27.3,52.6,31.6,52.6,57.4,9.9,7.2,13.6,63.9,9,7.3,14.3,108.4,0.248,0.251,0.544,0.512,0.184,111.7,0.359,0.225,0.56,0.509,0.279
"173",25.4,50.9,26.7,50.9,57.7,8.8,7.1,14.8,65.6,9.1,11,13.8,100.4,0.261,0.244,0.514,0.481,0.184,108.7,0.288,0.304,0.553,0.516,0.215
"174",22.1,52.9,28.7,52.9,61.2,6.6,8.6,14.1,62.4,10.4,8,11.2,103.8,0.278,0.299,0.535,0.495,0.211,109.1,0.259,0.248,0.528,0.495,0.187
"175",24.8,50.9,27.4,50.9,60.9,7.4,8.5,13.3,57.2,9,7.1,12.6,104.6,0.25,0.235,0.53,0.493,0.191,106.2,0.254,0.213,0.525,0.487,0.193
"176",25.5,48.2,23,48.2,56.1,7.2,9.4,13.6,60,8.7,7.5,12.2,107.9,0.23,0.248,0.548,0.512,0.183,108.9,0.263,0.366,0.549,0.511,0.204
"177",22,50.3,23.6,50.3,54.6,8,8.1,12.2,58.4,7.3,8.6,13,110.9,0.229,0.289,0.566,0.535,0.176,110.4,0.221,0.353,0.561,0.534,0.165
"178",21.8,50.8,21.8,50.8,59,8.8,11.3,11.1,60,7.1,7.8,13.2,106.4,0.257,0.35,0.529,0.49,0.198,106.8,0.217,0.384,0.549,0.52,0.164
"179",19,52,22.5,52,57.2,8.8,9.4,12.3,58.7,7.3,6.9,13.4,110.3,0.287,0.301,0.572,0.533,0.222,111.5,0.31,0.324,0.575,0.534,0.239
"180",22.6,48.2,18.6,48.2,57.1,8.9,8.3,12.9,56.3,7.8,11.7,13.1,115.8,0.297,0.509,0.592,0.552,0.237,108.1,0.252,0.337,0.565,0.533,0.189
"181",25.4,49.9,25.3,49.9,59.5,9,6.2,14.7,56.8,8.9,11.2,13.3,108,0.306,0.338,0.554,0.514,0.23,106.9,0.241,0.255,0.543,0.507,0.186
"182",21.9,49.7,23,49.7,57.2,8.1,7.9,11.7,57.5,7.5,6,12,112.2,0.307,0.325,0.567,0.528,0.232,106.1,0.287,0.293,0.533,0.492,0.218
"183",27.4,51.4,27.4,51.4,60.4,9.2,6.8,12.9,56.2,8.4,8.2,14.1,102.6,0.287,0.177,0.507,0.464,0.213,112.9,0.256,0.257,0.578,0.543,0.199
"184",28.6,48.1,25.3,48.1,64.7,7.7,8.1,14.1,56.8,8.9,10,13.1,101.7,0.286,0.214,0.509,0.463,0.22,101.7,0.241,0.22,0.508,0.471,0.182
"185",22.2,51.3,27.3,51.3,58,9.1,8.3,13,57.2,8.4,5.6,13.4,112,0.287,0.275,0.578,0.542,0.217,105.5,0.27,0.271,0.526,0.485,0.207
"186",22.1,50.2,22,50.2,58.9,6.5,6.5,13.3,51.1,7.8,10.7,11.4,106.2,0.275,0.391,0.544,0.505,0.209,109,0.257,0.291,0.548,0.511,0.197
"187",21.7,51.2,24,51.2,56.5,7.1,8.4,11.9,52.9,8.3,8.9,11.4,110.3,0.275,0.334,0.559,0.52,0.215,112.7,0.321,0.302,0.56,0.513,0.253
"188",30.2,47.4,25.1,47.4,60.4,7.5,8,14.4,60.7,8.7,8.6,12.1,107.4,0.338,0.234,0.535,0.499,0.232,109.9,0.337,0.251,0.552,0.502,0.262
"189",27.6,49,26.5,49,58.4,7.4,8.9,12.9,55.7,7.7,9,11.8,108,0.305,0.268,0.539,0.5,0.222,107.2,0.292,0.237,0.525,0.484,0.219
"190",27,48.8,23,48.8,60.7,7.4,8,13,60.5,8.7,10.5,12.5,104.7,0.276,0.28,0.521,0.479,0.21,109.1,0.289,0.283,0.553,0.515,0.216
"191",24.7,50,25.3,50,57.4,8.7,7.5,11.8,54.5,7.6,8,13.6,108.8,0.284,0.19,0.54,0.497,0.22,104.7,0.257,0.289,0.533,0.497,0.192
"192",24.2,49.9,24.2,49.9,58.1,7.6,6.7,12.3,51.4,8,8.3,12.3,109.2,0.267,0.252,0.548,0.516,0.192,104.6,0.223,0.219,0.526,0.493,0.168
"193",28.1,51,28.9,51,59.3,9,11.3,12.7,60.7,8.5,6.3,14.1,103.5,0.25,0.214,0.508,0.472,0.185,104.2,0.272,0.213,0.522,0.479,0.211
"194",21.8,52.4,27.6,52.4,58.8,8.1,8.4,13,58.6,9.6,7.1,13,104.7,0.261,0.234,0.534,0.492,0.208,107.6,0.31,0.264,0.536,0.493,0.233
"195",20.9,49.6,21.6,49.6,58.9,7.9,7.9,12.5,55.3,7.2,7.6,12.6,108.6,0.252,0.375,0.555,0.521,0.192,103.1,0.256,0.318,0.524,0.486,0.195
"196",24.7,51.6,26.2,51.6,59.8,8.1,8.3,12,61.3,8,7,13.3,102.4,0.204,0.215,0.509,0.481,0.147,107,0.276,0.24,0.539,0.499,0.211
"197",19,53.3,23,53.3,57.6,7.9,10.1,12.4,58.2,8,11.5,12.8,106.1,0.256,0.453,0.543,0.509,0.19,112.3,0.265,0.384,0.576,0.539,0.207
"198",24.3,47.5,21.6,47.5,53.8,7.1,8.7,12.4,56.5,7.7,9.1,10.2,117.7,0.264,0.473,0.595,0.563,0.204,110,0.208,0.378,0.542,0.513,0.158
"199",28.2,52.2,30.5,52.2,60.7,8.8,7.8,12.7,59.6,8.2,7.5,14.6,104.5,0.248,0.236,0.511,0.468,0.197,106.6,0.289,0.237,0.537,0.496,0.218
"200",29.8,47.9,27.3,47.9,57.5,8.4,8.2,12.4,60.8,8.3,7.6,12.5,112.6,0.3,0.229,0.552,0.507,0.236,104.6,0.246,0.245,0.515,0.477,0.188
"201",22.8,50.4,21.9,50.4,57.2,8.2,6.4,12.3,63.2,7.6,9.1,14.1,107.9,0.218,0.329,0.543,0.513,0.164,107.4,0.225,0.339,0.56,0.528,0.174
"202",21.9,51.4,23.2,51.4,58.3,7,8.8,11.6,56.1,7.5,8.9,11.5,104.1,0.235,0.305,0.521,0.491,0.169,109,0.254,0.29,0.546,0.51,0.195
"203",21.5,51.3,23.5,51.3,59.2,6.9,9,12.7,62,8.1,10.8,11.4,104,0.224,0.414,0.527,0.491,0.176,113.4,0.241,0.407,0.567,0.536,0.183
"204",21.8,52.5,23.6,52.5,60.1,8.3,8.9,12.7,61.8,7.8,10,13.2,102.8,0.249,0.405,0.52,0.481,0.193,112.8,0.261,0.385,0.578,0.544,0.201
"205",20.5,48.9,21,48.9,55.2,6.1,7,13.1,52.3,7.6,9.5,10.9,112.1,0.273,0.39,0.583,0.547,0.212,108,0.237,0.345,0.54,0.505,0.182
"206",26.4,52,29.2,52,58.7,8.6,8.7,12.7,57.6,8.1,8.1,13.5,103.8,0.23,0.215,0.513,0.48,0.171,108.1,0.268,0.198,0.541,0.505,0.2
"207",23.6,48.5,20.8,48.5,57.1,7.7,9.5,12.6,55.9,8.3,6.1,12.8,108,0.243,0.292,0.548,0.512,0.189,104.5,0.222,0.312,0.536,0.506,0.163
"208",28.7,49.8,27.2,49.8,56.6,7.7,6.1,13.6,57.6,8.5,8.2,13.1,107.5,0.291,0.184,0.538,0.5,0.214,112.2,0.321,0.208,0.567,0.522,0.249
"209",25.5,47.7,20.8,47.7,58.7,7.3,6.4,12.4,58.2,7.4,8.5,12.6,108.6,0.271,0.338,0.542,0.509,0.195,102.9,0.275,0.271,0.525,0.488,0.202
"210",24.7,49.3,20.5,49.3,56.3,7.2,6.7,12.5,59,7.6,10.1,12.7,106.7,0.267,0.38,0.532,0.496,0.197,109.5,0.301,0.324,0.566,0.524,0.235
"211",27.7,48.5,25.8,48.5,59.4,6.7,9.6,12.5,56.1,8.2,8.8,11,109.4,0.323,0.259,0.542,0.494,0.252,106.5,0.247,0.201,0.517,0.478,0.188
"212",23.7,53.2,30.3,53.2,58.7,9.1,8.6,13.2,61.3,8.4,7,13.6,106.3,0.251,0.255,0.542,0.506,0.192,108.1,0.329,0.231,0.534,0.489,0.244
"213",22.1,51.4,24.4,51.4,59,8.5,7.8,13,60.9,8.6,9.8,13.3,108.1,0.302,0.302,0.55,0.506,0.236,111.5,0.299,0.356,0.571,0.53,0.234
"214",29.9,46.3,24.9,46.3,54.1,8.1,10.2,13.5,54,8.8,7.3,12.3,112.9,0.298,0.254,0.565,0.521,0.235,103.9,0.264,0.256,0.514,0.475,0.199
"215",19.7,50.9,22.9,50.9,54.9,7.5,8.3,12.2,55.6,7,7.5,12.1,110.8,0.283,0.357,0.57,0.528,0.227,109.4,0.205,0.352,0.551,0.519,0.164
"216",24,50.4,25.3,50.4,57.9,9.5,7.4,10,54.9,6.1,6.8,13.1,105.6,0.222,0.18,0.515,0.483,0.164,97.2,0.256,0.195,0.485,0.445,0.19
"217",20.4,51.2,23.1,51.2,59.2,7.2,6.2,12.2,56.6,8.2,7.2,12.7,104.8,0.264,0.333,0.537,0.496,0.207,105.2,0.259,0.295,0.531,0.496,0.192
"218",30.5,48,25.3,48,61.9,8.5,8.3,13.6,58.3,8.8,9.5,13.5,103.5,0.313,0.226,0.509,0.465,0.23,105.9,0.246,0.232,0.537,0.502,0.185
"219",25.1,47.7,21.9,47.7,53.1,6.6,8,12.5,56.9,7.9,9.3,10.7,111.3,0.258,0.339,0.559,0.518,0.209,109.9,0.242,0.333,0.547,0.515,0.18
"220",28.5,50.1,27.3,50.1,56.5,9.1,10.7,12.4,58.6,7.7,9.2,13.3,108.5,0.274,0.188,0.533,0.492,0.21,110.8,0.329,0.28,0.557,0.516,0.244
"221",25.7,48.9,25.6,48.9,56.9,6.3,9,12.6,57.6,8.3,8.4,10,104.4,0.26,0.241,0.519,0.476,0.204,104,0.233,0.25,0.5,0.468,0.167
"222",28.8,48.7,27.1,48.7,58.7,7.7,8.6,13.7,59.7,8.9,8.9,11.8,108.5,0.345,0.305,0.545,0.507,0.24,107.6,0.239,0.243,0.526,0.495,0.172
"223",23.9,49.9,24.1,49.9,59.6,8.1,7.5,13.5,56.9,8.1,8.1,13.3,104,0.328,0.189,0.533,0.479,0.26,107.7,0.282,0.296,0.547,0.511,0.207
"224",28.8,49.4,25,49.4,54.7,9.6,9.7,10.6,62.8,7.2,9.4,14.1,112.1,0.226,0.382,0.533,0.5,0.171,111.2,0.261,0.418,0.569,0.53,0.21
"225",20.5,51.5,23,51.5,57.2,7.8,8.3,12.3,56.8,7.4,7.7,11.9,105.8,0.258,0.289,0.539,0.497,0.206,109,0.278,0.294,0.55,0.509,0.216
"226",28,47.7,25.1,47.7,57.9,8,9.8,13.4,55.3,7.9,9.1,13.5,106.8,0.311,0.195,0.536,0.498,0.223,100.8,0.291,0.213,0.508,0.462,0.221
"227",26.8,49.4,25.4,49.4,54.4,7.4,9.6,12.2,57.2,8.2,7.3,11.4,108.3,0.237,0.284,0.534,0.497,0.184,111.5,0.291,0.313,0.549,0.507,0.226
"228",27,49.6,25.6,49.6,58.6,7.7,6.6,12.5,64.2,8,8.6,12.3,110.2,0.302,0.293,0.544,0.502,0.229,109.8,0.233,0.275,0.55,0.519,0.176
"229",27.6,48.1,27,48.1,57.3,8.8,11,14.3,58,8.8,7,13.1,113.9,0.345,0.249,0.583,0.527,0.29,104.2,0.262,0.252,0.516,0.474,0.203
"230",24.6,50.7,25.6,50.7,60.3,9.2,7.7,13.1,58.3,8.4,8.2,14,103.1,0.255,0.24,0.521,0.487,0.184,101.2,0.248,0.219,0.514,0.476,0.188
"231",24.3,50.3,25,50.3,58.8,7.6,6.3,12.1,58.8,7.8,7.1,12.4,105.8,0.3,0.185,0.529,0.486,0.226,106.5,0.322,0.209,0.533,0.482,0.252
"232",23.7,50,24.7,50,55.7,7.7,6.6,12.3,60.9,7.6,9.6,12.3,113.2,0.294,0.39,0.567,0.529,0.222,108.1,0.221,0.32,0.544,0.511,0.17
"233",26.5,47.4,22.4,47.4,54.5,7.8,8.3,12.9,55.2,8.4,8.4,12.1,108.9,0.3,0.3,0.546,0.507,0.221,107.1,0.276,0.29,0.541,0.502,0.208
"234",23.8,49.6,23.2,49.6,52.3,7.5,8.6,12.4,60.6,7.7,10.4,12.2,114.2,0.29,0.484,0.575,0.536,0.226,110.2,0.249,0.388,0.556,0.523,0.188
"235",28.9,47.8,24,47.8,57.4,8.1,7.9,12,55.8,7.7,8.2,13.2,106.5,0.253,0.175,0.52,0.483,0.19,106.7,0.279,0.271,0.541,0.501,0.214
"236",24.7,51.1,26.3,51.1,61.5,8,7.9,13.8,60,8.2,7.8,13.2,98.2,0.243,0.232,0.497,0.461,0.179,103.5,0.283,0.25,0.52,0.482,0.205
"237",17.2,53.5,24,53.5,56.2,8,7.9,13.3,59.9,7.9,10,12.2,101.8,0.227,0.308,0.534,0.499,0.177,112.1,0.239,0.369,0.565,0.53,0.188
"238",24.9,50.6,26.5,50.6,60,10,8.7,13.4,56.3,9.7,7.3,14.3,102.8,0.251,0.272,0.518,0.481,0.189,100.2,0.29,0.246,0.507,0.463,0.218
"239",23.9,49.7,23.2,49.7,54.3,7,5.8,13.9,59.6,8.9,11.9,11.2,106.4,0.23,0.362,0.545,0.512,0.175,115.6,0.206,0.371,0.58,0.554,0.157
"240",24.7,50.7,24.6,50.7,55.7,7.9,9.1,12.4,56.4,8.5,10.9,12.3,114.8,0.295,0.505,0.577,0.538,0.228,113,0.287,0.331,0.567,0.528,0.221
"241",27.1,47.2,24.2,47.2,55.2,8.4,10.2,13.9,59.6,8.6,6.4,12.9,109.8,0.31,0.244,0.558,0.509,0.251,102.2,0.298,0.286,0.512,0.473,0.212
