"","ORB_perc","TRB_perc","ORB_perc_opp","TRB_perc_opp","AST_perc","STL_perc","BLK_perc","TOV_perc","AST_perc_opp","STL_perc_opp","BLK_perc_opp","TOV_perc_opp","ORtg","FTr","X3PAr","TS_perc","eFG_perc","FTtoFGA","ORtg_opp","FTr_opp","X3PAr_opp","TS_perc_opp","eFG_perc_opp","FTtoFGA_opp"
"306",28.4,48.1,24.5,48.1,57,7.6,9.7,13.8,53.2,9.3,7.9,11.5,106.4,0.292,0.26,0.534,0.493,0.219,110.5,0.255,0.252,0.548,0.511,0.196
"307",25.4,51.1,26.2,51.1,56.5,7.7,7.9,13.7,54,8.5,7.9,12.2,103.1,0.261,0.227,0.519,0.48,0.197,110.2,0.304,0.232,0.551,0.509,0.232
"308",23.2,51,25.2,51,53.4,9.8,7.2,13.4,54,8.5,7.7,14.6,105.1,0.284,0.287,0.537,0.497,0.214,101.9,0.266,0.287,0.524,0.487,0.197
"309",24.4,50.7,23.8,50.7,52.5,7.2,4.4,11.9,57.9,7.6,9.1,11,107.3,0.235,0.299,0.536,0.498,0.187,118.3,0.24,0.352,0.587,0.557,0.185
"310",24.4,51.6,24.8,51.6,56.3,8.8,8.5,11.9,56.1,6.7,6.5,13.9,105.1,0.238,0.29,0.52,0.484,0.181,109.7,0.339,0.301,0.563,0.515,0.262
"311",30.5,48.4,26.7,48.4,57.3,8.1,7.4,13.1,56.8,8.3,7.5,13,108.8,0.307,0.273,0.533,0.49,0.23,106.3,0.242,0.215,0.532,0.5,0.178
"312",27.8,47.6,24.1,47.6,53.6,7.6,9.7,13.1,60.8,8.2,7.3,12.2,105.8,0.28,0.269,0.525,0.486,0.208,104.1,0.286,0.292,0.52,0.479,0.213
"313",20.8,51.6,23.7,51.6,54.6,7.9,5.9,13.6,59.5,7.8,9.2,12.6,101.8,0.236,0.235,0.529,0.497,0.172,107.3,0.288,0.259,0.544,0.506,0.214
"314",22,51.9,24.5,51.9,57.2,8.4,10.5,15.9,59.1,9.2,11.1,13.2,96.9,0.274,0.309,0.512,0.481,0.186,108.3,0.307,0.254,0.551,0.505,0.24
"315",22.8,49.4,19.7,49.4,55.2,6.1,8.2,10.3,59.7,6.4,8.1,11.8,102.2,0.274,0.221,0.502,0.461,0.202,104.4,0.24,0.274,0.532,0.494,0.187
"316",18.7,53.8,22.2,53.8,56.2,8.4,7.2,11.3,57.6,7.1,6.6,14.5,104.9,0.213,0.37,0.534,0.5,0.169,110,0.295,0.317,0.575,0.536,0.229
"317",26.7,48.5,26.8,48.5,53.8,7.8,9.2,14.2,55.2,9.1,10.7,12,109.9,0.403,0.328,0.567,0.528,0.278,106.4,0.259,0.254,0.519,0.48,0.195
"318",27.5,50.7,27.9,50.7,52.2,10,8.3,13,58.8,8.1,9,15.4,106.1,0.298,0.149,0.526,0.484,0.22,105.7,0.311,0.249,0.548,0.506,0.235
"319",23.8,53.3,29.1,53.3,59.7,6.9,9.1,13.1,58.8,8.3,9,12.5,95.7,0.265,0.172,0.482,0.44,0.196,110.2,0.282,0.216,0.544,0.506,0.211
"320",21.9,52.1,27,52.1,58.7,9.3,7.4,13.7,57.6,8.5,8,13.7,105.1,0.324,0.277,0.547,0.505,0.239,109.3,0.292,0.294,0.549,0.512,0.215
"321",21.3,51.6,23.2,51.6,57,6.9,8.4,11.6,57.8,7,8.8,13.1,100.9,0.31,0.193,0.507,0.463,0.226,104.1,0.254,0.264,0.531,0.494,0.192
"322",27.2,49.1,24.4,49.1,53.1,7.9,6.8,13.2,60.1,8.3,9.5,13.1,106.9,0.307,0.239,0.535,0.49,0.235,109.5,0.309,0.272,0.556,0.519,0.225
"323",22.6,51.5,23.7,51.5,49.3,7.3,9.4,10,59.9,6.4,9.1,11.3,116.9,0.233,0.469,0.573,0.534,0.195,118,0.266,0.397,0.59,0.555,0.207
"324",22,49.5,22.7,49.5,54.8,6.9,11.1,13,55.8,8.1,6.9,11.8,104.2,0.288,0.251,0.538,0.5,0.212,103.5,0.234,0.267,0.515,0.477,0.181
"325",24.9,52.8,28.2,52.8,60.1,10.4,10.3,16.2,65.8,10.8,9.6,15.2,94.1,0.304,0.293,0.49,0.453,0.207,107.2,0.295,0.303,0.549,0.509,0.221
"326",26.8,49.3,26.4,49.3,54.1,8.8,8.2,12.4,55.1,7.5,6.4,12.9,110.8,0.378,0.191,0.554,0.489,0.314,109.1,0.304,0.194,0.546,0.506,0.226
"327",27.9,52.2,31.6,52.2,54.3,8.6,7.5,12.9,61.9,7.7,10.4,13,105.8,0.269,0.225,0.521,0.48,0.207,112.1,0.304,0.257,0.549,0.504,0.238
"328",24.7,48.3,22.2,48.3,54.9,6.8,7,13.8,56.3,8.1,7.7,12.6,109,0.327,0.321,0.559,0.525,0.228,103.5,0.305,0.219,0.526,0.484,0.225
"329",30.1,47.4,25.6,47.4,57.7,7.5,10.6,13.8,56.2,8.1,9,12.2,101.9,0.269,0.237,0.503,0.463,0.198,99.5,0.245,0.201,0.488,0.446,0.19
"330",24.8,48.6,24.6,48.6,54.2,7.1,9,12.5,59.3,7.4,4.8,12.3,111.6,0.368,0.228,0.566,0.516,0.283,102.9,0.306,0.236,0.51,0.467,0.224
"331",23.9,51.5,24.6,51.5,50.4,7.2,7.7,11.6,61.3,7.2,10.1,12,106.5,0.262,0.325,0.528,0.487,0.204,115.1,0.262,0.362,0.578,0.545,0.198
"332",28.4,49.6,27.2,49.6,53.6,11,8.9,13.5,56.7,8.4,8,16.1,103.4,0.281,0.145,0.514,0.472,0.211,101.3,0.298,0.233,0.527,0.483,0.226
"333",26,50.5,26.1,50.5,55.8,10.1,6.9,14.7,55.1,9.2,8.5,15.2,102.6,0.31,0.27,0.523,0.478,0.233,102.4,0.299,0.225,0.53,0.489,0.222
"334",30.5,48.3,25.8,48.3,52.1,7.6,8.8,14.6,63.1,9.5,8.8,12.7,105.7,0.285,0.219,0.527,0.483,0.219,111.6,0.351,0.246,0.562,0.511,0.276
"335",28.6,51.4,30.3,51.4,58.7,8,6.7,14.2,61.7,9.3,9.5,13.3,104.5,0.279,0.307,0.522,0.479,0.215,111.8,0.299,0.215,0.554,0.519,0.216
"336",21.7,51.1,24.6,51.1,48.2,5.9,11.1,11.1,57.6,7.1,9.2,10.7,110.7,0.239,0.37,0.554,0.515,0.195,112.7,0.272,0.378,0.551,0.513,0.208
"337",26.2,50.3,26.9,50.3,54.1,7.5,7.6,13.5,58.9,7.9,7.1,13,102.7,0.253,0.224,0.516,0.476,0.194,106.6,0.317,0.229,0.533,0.489,0.237
"338",27.7,46.9,24,46.9,53.5,6.7,6.3,14.4,58.7,8.8,9.4,10.9,106.9,0.37,0.195,0.545,0.491,0.286,109,0.288,0.283,0.536,0.495,0.218
"339",24.7,51.3,24.8,51.3,53.5,9.2,6.8,10.6,55.1,6.7,7.1,14.4,111.1,0.256,0.344,0.543,0.508,0.193,106.5,0.275,0.277,0.547,0.508,0.212
"340",30,49.3,26.9,49.3,52.3,7.6,7.9,13.7,54.3,7.8,7.9,13.5,103.3,0.282,0.187,0.51,0.473,0.201,108.8,0.312,0.193,0.55,0.506,0.239
"341",27,49.5,24.4,49.5,53.5,7.5,7.1,12.8,65.8,7.7,9.2,12.9,102.2,0.257,0.231,0.506,0.467,0.192,107.9,0.26,0.29,0.544,0.506,0.2
"342",29.6,50.5,28.1,50.5,54.6,8.9,6,12.9,62.6,8.7,11,14.5,103.8,0.262,0.252,0.503,0.463,0.196,109.8,0.318,0.254,0.561,0.52,0.239
"343",21.8,49,22.8,49,53.6,7.1,8.4,13.2,49.8,7.8,6.9,11,109.4,0.295,0.34,0.566,0.529,0.221,104.7,0.246,0.276,0.517,0.479,0.188
"344",25.4,50.2,25.4,50.2,47.6,9.5,8.7,10.4,59.2,6.6,7.4,13.8,116.5,0.302,0.284,0.572,0.525,0.245,109.6,0.282,0.334,0.554,0.514,0.219
"345",26.7,52.1,30.4,52.1,54.8,8,10.8,12.2,65.2,7.5,11.8,12.8,103.1,0.322,0.199,0.507,0.458,0.241,112.1,0.262,0.289,0.549,0.516,0.193
"346",25.5,50,25,50,55.3,5.7,7.3,13.5,61.3,7.6,7.5,11.4,102.6,0.311,0.195,0.519,0.471,0.239,109.8,0.346,0.212,0.543,0.497,0.258
