"dzien","dolnoslaskie","kujawskopomorskie","lubuskie","lodzkie","lubelskie","malopolskie","mazowieckie","opolskie","podlaskie","podkarpackie","pomorskie","swietokrzyskie","slaskie","warminskomazurskie","wielkopolskie","zachodniopomorskie","suma_dzienna","total"
2020-04-21,41,17,2,13,14,28,29,6,5,4,4,11,54,2,31,2,263,9793
2020-04-22,26,14,1,70,7,27,39,26,3,6,12,9,46,0,18,9,313,10106
2020-04-23,68,8,0,16,4,32,68,6,6,3,12,1,35,0,67,16,342,10448
2020-04-24,23,11,0,32,6,22,40,15,3,9,14,6,97,1,70,32,381,10829
2020-04-25,43,3,0,23,4,24,96,7,14,23,39,1,67,0,30,7,381,11210
2020-04-26,63,4,2,19,5,9,46,11,3,2,50,3,74,0,41,12,344,11554
2020-04-27,71,5,0,35,2,20,28,10,4,3,11,3,42,0,36,15,285,11839
2020-04-28,49,35,0,14,3,11,15,5,2,9,37,3,94,0,33,6,316,12155
2020-04-29,59,19,0,32,3,24,36,12,0,3,30,2,159,0,39,4,422,12577
2020-04-30,43,7,0,18,1,21,25,4,8,1,4,4,120,2,26,16,300,12877
2020-05-01,17,6,0,18,5,16,0,4,0,8,6,0,141,0,2,5,228,13105
2020-05-02,40,4,0,34,2,21,25,9,2,4,6,1,66,0,51,5,270,13375
2020-05-03,25,3,1,43,7,10,31,15,1,9,4,7,130,0,24,8,318,13693
2020-05-04,78,0,2,19,0,32,45,13,0,13,0,4,80,2,11,14,313,14006
2020-05-05,46,4,0,3,2,21,78,5,1,3,7,18,134,2,69,13,406,14412
2020-05-06,20,0,0,27,4,12,42,10,1,0,9,0,157,0,18,11,311,14723
2020-05-07,36,5,2,38,1,10,36,9,1,2,8,3,116,4,24,8,303,15026
2020-05-08,45,5,0,14,3,14,22,16,2,2,9,9,176,1,15,4,337,15363
2020-05-09,33,1,0,16,2,10,34,3,0,0,1,9,156,3,15,5,288,15651
2020-05-10,99,2,0,12,2,4,26,12,1,1,3,4,171,2,2,4,345,15996
2020-05-11,22,3,0,10,4,24,17,5,0,0,4,0,213,0,27,1,330,16326
2020-05-12,32,0,0,13,4,3,21,3,1,0,4,3,453,2,11,6,556,16882
2020-05-13,44,0,0,11,2,10,51,4,0,0,2,9,167,4,12,6,322,17204
2020-05-14,25,1,0,7,2,24,22,8,1,2,1,0,302,1,13,2,411,17615
2020-05-15,16,3,0,8,1,9,28,17,1,0,1,3,293,1,17,3,401,18016
2020-05-16,19,1,0,7,0,7,19,8,0,1,7,1,165,0,5,1,241,18257
2020-05-17,6,0,0,6,1,4,21,9,1,0,2,0,180,0,40,2,272,18529
2020-05-18,60,0,0,11,7,5,33,7,1,0,0,11,205,0,13,3,356,18885
2020-05-19,31,1,0,6,0,15,37,4,9,0,1,1,263,4,5,5,382,19267
2020-05-20,19,1,0,16,2,2,42,13,7,0,5,4,275,0,84,1,471,19738
2020-05-21,19,3,3,6,6,15,46,8,0,1,5,4,251,0,26,10,403,20141
2020-05-22,71,3,2,33,3,2,29,10,6,1,4,5,285,0,16,2,472,20613
2020-05-23,33,2,2,12,1,4,40,4,3,1,10,8,179,1,12,4,316,20929
2020-05-24,19,1,4,23,13,5,20,3,4,1,6,8,185,0,68,1,361,21290
2020-05-25,37,1,5,15,12,0,66,5,5,0,7,10,158,0,19,1,341,21631
2020-05-26,16,0,3,22,3,3,76,3,7,0,2,7,274,4,19,4,443,22074
2020-05-27,41,0,0,28,20,2,37,9,9,0,4,9,176,0,59,2,396,22470
2020-05-28,18,0,2,46,16,9,65,12,3,2,2,24,138,0,15,0,352,22822
2020-05-29,26,0,1,30,1,9,33,9,3,2,4,7,191,0,13,4,333,23155
2020-05-30,25,0,2,35,0,16,52,11,4,0,0,34,228,0,1,4,412,23567
2020-05-31,13,0,0,30,7,10,35,1,1,5,1,7,105,0,3,1,219,23786
2020-06-01,36,0,2,52,2,6,47,9,8,0,5,6,196,0,5,0,374,24159
2020-06-02,9,1,2,8,0,10,32,14,5,0,1,7,109,0,33,5,236,24395
2020-06-03,10,1,2,54,8,16,28,19,10,1,0,9,109,0,18,7,292,24687
2020-06-04,11,4,0,112,1,21,50,8,12,0,1,9,120,0,10,2,361,25048
2020-06-05,20,2,2,47,1,27,58,8,8,0,4,1,177,1,3,3,362,25410
2020-06-06,20,0,0,62,3,22,47,19,4,1,4,3,351,0,40,0,576,25986
2020-06-07,8,0,2,119,6,32,36,8,21,2,1,0,325,0,14,1,575,26561
2020-06-08,16,1,0,77,1,30,74,9,6,5,0,40,326,1,13,0,599,27160
2020-06-09,12,1,2,45,5,43,80,10,15,11,5,14,137,0,14,6,400,27560
2020-06-10,3,3,0,38,1,20,85,13,11,5,5,11,76,0,6,5,282,27842
2020-06-11,10,2,0,73,2,9,54,3,9,2,0,5,157,4,27,2,359,28201
2020-06-12,1,2,1,90,2,13,68,9,17,8,2,11,138,0,12,2,376,28577
